n_reads,n_threads,finegrain_type,avg_t_calcscore,avg_t_adread,avg_t_adisum
10,6,1,4.1176e+06,3.29519e+06,2.93139e+06
10,7,1,3.54682e+06,3.00512e+06,2.60026e+06
10,8,1,5.10964e+06,4.18496e+06,3.70241e+06
10,10,1,7.57004e+06,6.38037e+06,5.70648e+06
10,16,1,8.20554e+06,7.33881e+06,6.57623e+06
10,32,1,1.10066e+07,1.00892e+07,9.17199e+06
10,64,1,1.67654e+07,1.60216e+07,1.46472e+07
10,1,1,9.9166e+06,9.52367e+06,8.68644e+06
10,2,1,6.2357e+06,5.76781e+06,5.14665e+06
10,4,1,5.07709e+06,4.23422e+06,3.73257e+06
10,5,1,3.88154e+06,3.33199e+06,2.9537e+06
10,6,1,4.09616e+06,3.34545e+06,2.94567e+06
10,7,1,4.13239e+06,3.31489e+06,2.94788e+06
10,8,1,4.67323e+06,3.90273e+06,3.44826e+06
10,10,1,7.55084e+06,6.46454e+06,5.89354e+06
10,16,1,9.37615e+06,7.83592e+06,7.12074e+06
10,32,1,1.15659e+07,1.03222e+07,9.4186e+06
10,64,1,1.70979e+07,1.61358e+07,1.47783e+07
10,1,1,9.52612e+06,9.14755e+06,8.20238e+06
10,2,1,7.09562e+06,6.47902e+06,5.84883e+06
10,4,1,4.25471e+06,3.74825e+06,3.30148e+06
10,5,1,4.06642e+06,3.44413e+06,2.98489e+06
10,6,1,4.57686e+06,3.90366e+06,3.50978e+06
10,7,1,4.96375e+06,4.07638e+06,3.56006e+06
10,8,1,5.67671e+06,4.86646e+06,4.31413e+06
10,10,1,8.44152e+06,7.38843e+06,6.71102e+06
10,16,1,9.63839e+06,8.67517e+06,7.89461e+06
10,32,1,1.31762e+07,1.20024e+07,1.10245e+07
10,64,1,1.95838e+07,1.81442e+07,1.65932e+07
10,1,1,1.15833e+07,1.11061e+07,1.00939e+07
10,2,1,8.21275e+06,7.49909e+06,6.7589e+06
10,4,1,5.37616e+06,4.56967e+06,3.96525e+06
10,5,1,5.03402e+06,4.32144e+06,3.9107e+06
10,6,1,4.29969e+06,3.62358e+06,3.20338e+06
10,7,1,4.82455e+06,3.71476e+06,3.2713e+06
10,8,1,5.91327e+06,4.84972e+06,4.298e+06
10,10,1,8.91327e+06,7.82542e+06,7.19328e+06
10,16,1,1.03576e+07,9.25117e+06,8.20287e+06
10,32,1,1.32922e+07,1.22214e+07,1.11289e+07
10,64,1,2.02045e+07,1.89997e+07,1.74098e+07
10,1,1,1.24019e+07,1.18242e+07,1.06818e+07
10,2,1,7.73772e+06,7.24461e+06,6.54267e+06
10,4,1,6.01337e+06,5.23876e+06,4.53204e+06
10,5,1,5.77655e+06,4.9554e+06,4.39671e+06
10,6,1,6.2809e+06,4.68569e+06,4.15361e+06
10,7,1,5.37036e+06,4.20761e+06,3.81771e+06
10,8,1,6.00324e+06,5.04718e+06,4.46427e+06
10,10,1,1.05356e+07,9.29078e+06,8.52882e+06
10,16,1,1.00905e+07,9.0202e+06,8.22365e+06
10,32,1,1.33837e+07,1.22267e+07,1.11746e+07
10,64,1,1.83324e+07,1.73188e+07,1.56589e+07
10,1,1,9.25268e+06,8.89251e+06,7.97812e+06
10,2,1,6.97087e+06,6.40359e+06,5.71893e+06
10,4,1,4.90646e+06,4.04978e+06,3.56463e+06
10,5,1,4.22084e+06,3.62108e+06,3.19635e+06
10,6,1,5.3805e+06,4.49323e+06,3.9853e+06
10,7,1,5.92769e+06,5.20714e+06,4.79554e+06
10,8,1,6.12795e+06,5.3909e+06,4.16715e+06
10,10,1,7.30809e+06,6.38099e+06,5.80946e+06
10,16,1,8.12992e+06,7.20202e+06,6.51506e+06
10,32,1,1.11587e+07,9.95409e+06,9.00418e+06
10,64,1,1.59529e+07,1.49473e+07,1.36284e+07
10,1,1,9.64064e+06,9.23755e+06,8.26953e+06
10,2,1,6.20849e+06,5.75242e+06,5.13275e+06
10,4,1,4.69116e+06,4.07895e+06,3.65e+06
10,5,1,4.48634e+06,3.82688e+06,3.46852e+06
10,6,1,3.64546e+06,3.10069e+06,2.75092e+06
10,7,1,4.95752e+06,4.02219e+06,3.65335e+06
10,8,1,4.38857e+06,3.7968e+06,3.29523e+06
10,10,1,7.15302e+06,6.22682e+06,5.65601e+06
10,16,1,8.52747e+06,7.44539e+06,6.72719e+06
10,32,1,1.18201e+07,1.07064e+07,9.81851e+06
10,64,1,1.65329e+07,1.54298e+07,1.38568e+07
10,1,1,9.76511e+06,9.38721e+06,8.42199e+06
10,2,1,7.22385e+06,6.68224e+06,5.95954e+06
10,4,1,4.49916e+06,3.9372e+06,3.45017e+06
10,5,1,5.02362e+06,4.29045e+06,3.90229e+06
10,6,1,4.98477e+06,4.03039e+06,3.53214e+06
10,7,1,4.11845e+06,3.18063e+06,2.71943e+06
10,8,1,4.97861e+06,4.0941e+06,3.58954e+06
10,10,1,7.5479e+06,6.60237e+06,6.00945e+06
10,16,1,8.69222e+06,7.61763e+06,6.78636e+06
10,32,1,1.15131e+07,1.05168e+07,9.53639e+06
10,64,1,1.62027e+07,1.52725e+07,1.39095e+07
10,1,1,9.89313e+06,9.47936e+06,8.6229e+06
10,2,1,7.19978e+06,6.54328e+06,5.84872e+06
10,4,1,4.87389e+06,4.08644e+06,3.6159e+06
10,5,1,3.79731e+06,3.26023e+06,2.88189e+06
10,6,1,4.35047e+06,3.69607e+06,3.31218e+06
10,7,1,4.09749e+06,3.20141e+06,2.8397e+06
10,8,1,4.92246e+06,3.94283e+06,3.50545e+06
10,10,1,7.52175e+06,6.39221e+06,5.80224e+06
10,16,1,8.10543e+06,7.24375e+06,6.54107e+06
10,32,1,1.08527e+07,9.84453e+06,8.9835e+06
10,64,1,1.58793e+07,1.49438e+07,1.35912e+07
10,1,1,9.36092e+06,8.98272e+06,8.15889e+06
10,2,1,6.72919e+06,6.07117e+06,5.47515e+06
10,4,1,4.46463e+06,3.88974e+06,3.3874e+06
10,5,1,4.42035e+06,3.64827e+06,3.27948e+06
10,6,1,3.63566e+06,3.04563e+06,2.66741e+06
10,7,1,3.98321e+06,3.21861e+06,2.87168e+06
10,8,1,4.57261e+06,3.84226e+06,3.40058e+06
10,10,1,7.43292e+06,6.42856e+06,5.81369e+06
10,16,1,8.49283e+06,7.4234e+06,6.72555e+06
10,32,1,1.11271e+07,1.01779e+07,9.26261e+06
10,64,1,1.54937e+07,1.46353e+07,1.33589e+07
10,1,1,9.65143e+06,9.26904e+06,8.44761e+06
10,2,1,6.77629e+06,6.21689e+06,5.59862e+06
10,4,1,5.09136e+06,4.3653e+06,3.89971e+06
10,5,1,4.22474e+06,3.55281e+06,3.18759e+06
10,6,1,4.65602e+06,3.80924e+06,3.42339e+06
10,7,1,4.46661e+06,3.84477e+06,3.38302e+06
10,8,1,5.07307e+06,4.18734e+06,3.7173e+06
10,10,1,7.54606e+06,6.42057e+06,5.84546e+06
10,16,1,8.33246e+06,7.45136e+06,6.7531e+06
10,32,1,1.10633e+07,9.82451e+06,8.8586e+06
10,64,1,1.61636e+07,1.52366e+07,1.387e+07
10,1,1,9.4742e+06,9.08084e+06,8.1917e+06
10,2,1,9.75544e+06,9.38274e+06,8.53741e+06
10,4,1,4.75311e+06,4.13087e+06,3.69802e+06
10,5,1,4.05214e+06,3.51182e+06,3.13972e+06
10,6,1,3.83846e+06,3.23765e+06,2.88972e+06
10,7,1,3.86608e+06,3.38422e+06,2.92231e+06
10,8,1,4.85666e+06,3.80667e+06,3.36655e+06
10,10,1,7.28188e+06,6.39868e+06,5.7581e+06
10,16,1,8.60351e+06,7.57353e+06,6.79245e+06
10,32,1,1.0909e+07,9.82217e+06,8.95449e+06
10,64,1,1.5941e+07,1.47128e+07,1.34702e+07
10,1,1,9.30252e+06,8.92989e+06,8.10416e+06
10,2,1,6.54072e+06,6.0264e+06,5.39853e+06
